State,Year,Type,Count,Clean
Wyoming,2016,Compressed Natural Gas (CNG),4800,1
Wyoming,2016,Propane,0,1
Wyoming,2016,Hydrogen,0,1
Wyoming,2016,Methanol,0,1
Wyoming,2016,Gasoline,448600,0
Wyoming,2016,Diesel,69900,0
Wyoming,2016,Unknown Fuel,23700,0
Alabama,2017,Electric (EV),800,1
Alabama,2017,Plug-In Hybrid Electric (PHEV),1100,1
Alabama,2017,Hybrid Electric (HEV),30600,1
Alabama,2017,Biodiesel,0,1
Alabama,2017,Ethanol/Flex (E85),476700,1
Alabama,2017,Compressed Natural Gas (CNG),18500,1
Alabama,2017,Propane,0,1
Alabama,2017,Hydrogen,0,1
Alabama,2017,Methanol,0,1
Alabama,2017,Gasoline,3750700,0
Alabama,2017,Diesel,131500,0
Alabama,2017,Unknown Fuel,49000,0
Alaska,2017,Electric (EV),400,1
